"","x","y","Animal","Month","Year"
"434",-61.23843,-62.52741,131127,"May",2016
"435",-61.24249,-62.52787,131127,"May",2016
"436",-61.23215,-62.52439,131127,"May",2016
"437",-61.20603,-62.52602,131127,"May",2016
"438",-61.18819,-62.52347,131127,"May",2016
"439",-61.09566,-62.51949,131127,"May",2016
"440",-61.09862,-62.56243,131127,"May",2016
"441",-61.09893,-62.56208,131127,"May",2016
"442",-61.08007,-62.58335,131127,"May",2016
"443",-61.12692,-62.55853,131127,"May",2016
"444",-61.13126,-62.56095,131127,"May",2016
"445",-61.10939,-62.58274,131127,"May",2016
"446",-61.08279,-62.58516,131127,"May",2016
"447",-61.09952,-62.59674,131127,"May",2016
"448",-61.10312,-62.59042,131127,"May",2016
"449",-61.03736,-62.5733,131127,"May",2016
"450",-61.07668,-62.55825,131127,"May",2016
"451",-61.07715,-62.55621,131127,"May",2016
"452",-61.0499,-62.54913,131127,"May",2016
"453",-61.04396,-62.54783,131127,"May",2016
"454",-61.04324,-62.54611,131127,"May",2016
"455",-61.06443,-62.53447,131127,"May",2016
"456",-61.03763,-62.52421,131127,"May",2016
"457",-61.05016,-62.53007,131127,"May",2016
"458",-61.11854,-62.55861,131127,"May",2016
"459",-61.11865,-62.55876,131127,"May",2016
"460",-61.10553,-62.55479,131127,"May",2016
"461",-61.10678,-62.5666,131127,"May",2016
"462",-61.09854,-62.5628,131127,"May",2016
"463",-61.17101,-62.56454,131127,"May",2016
"464",-61.1342,-62.56595,131127,"May",2016
"465",-61.14958,-62.56332,131127,"May",2016
"466",-61.14998,-62.56313,131127,"May",2016
"467",-61.14795,-62.56464,131127,"May",2016
"468",-61.14717,-62.56567,131127,"May",2016
"469",-61.17326,-62.57006,131127,"May",2016
"470",-61.16463,-62.56613,131127,"May",2016
"471",-61.11105,-62.5611,131127,"May",2016
"472",-61.12166,-62.555,131127,"May",2016
"473",-61.0831,-62.55878,131127,"May",2016
"474",-61.0752,-62.5602,131127,"May",2016
"475",-61.07771,-62.561,131127,"May",2016
"476",-61.08375,-62.5629,131127,"May",2016
"477",-61.07557,-62.56338,131127,"May",2016
"478",-60.97716,-62.58243,131127,"May",2016
"479",-60.97683,-62.58236,131127,"May",2016
"480",-60.95932,-62.58402,131127,"May",2016
"481",-60.96985,-62.58024,131127,"May",2016
"482",-60.9346,-62.58813,131127,"May",2016
"483",-61.02537,-62.55617,131127,"May",2016
"484",-61.06882,-62.55211,131127,"May",2016
"485",-61.00106,-62.56352,131127,"May",2016
"486",-61.01822,-62.56146,131127,"May",2016
"487",-61.106,-62.54987,131127,"May",2016
"488",-61.14171,-62.56941,131127,"May",2016
"489",-61.13209,-62.56983,131127,"May",2016
"490",-61.13306,-62.56947,131127,"May",2016
"491",-61.09195,-62.59069,131127,"May",2016
"492",-61.123,-62.57552,131127,"May",2016
"493",-61.11521,-62.57763,131127,"May",2016
"494",-61.12182,-62.57467,131127,"May",2016
"495",-61.12566,-62.57508,131127,"May",2016
"496",-61.12874,-62.57504,131127,"May",2016
"497",-61.09887,-62.59252,131127,"May",2016
"498",-61.09853,-62.57815,131127,"May",2016
"499",-61.10653,-62.57609,131127,"May",2016
"500",-61.17897,-62.5726,131127,"May",2016
"501",-61.17486,-62.57046,131127,"May",2016
"502",-61.1644,-62.61035,131127,"May",2016
"503",-61.06778,-62.55787,131127,"May",2016
"504",-61.06934,-62.56096,131127,"May",2016
"505",-61.07061,-62.55904,131127,"May",2016
"506",-61.13046,-62.54922,131127,"May",2016
"507",-61.16325,-62.56425,131127,"May",2016
"508",-61.19689,-62.59246,131127,"May",2016
"509",-61.12916,-62.57678,131127,"May",2016
"510",-61.12364,-62.58148,131127,"May",2016
"511",-61.13122,-62.5924,131127,"May",2016
"512",-61.16953,-62.55908,131127,"May",2016
"513",-61.22994,-62.57277,131127,"May",2016
"514",-61.17002,-62.5435,131127,"May",2016
"515",-61.17841,-62.56885,131127,"May",2016
